timestamp,ema50_dist_eos_btc_15m,ema200_dist_eos_btc_15m,upper_bb_dist_eos_btc_15m,lower_bb_dist_eos_btc_15m,width_bb_eos_btc_15m,rsi_eos_btc_15m,stoch_rsi_fastk_eos_btc_15m,stoch_rsi_fastd_eos_btc_15m,kijun_dist_eos_btc_15m,tenkan_dist_eos_btc_15m
2019-02-06 16:15:00,,,,,,,,,10.29583211891576,10.740308947828625
2019-02-06 16:30:00,,,,,,,,,10.456800934033872,10.90192644483363
2019-02-06 16:45:00,,,,,,,,,10.360163312919223,10.804899387576562
2019-02-06 17:00:00,,,,,,,,,10.424569594397436,10.869565217391308
2019-02-06 17:15:00,,,,,,,,,10.440682912593013,10.885743470013121
2019-02-06 17:30:00,,,,,,,,,10.456800934033872,10.90192644483363
2019-02-06 17:45:00,,,,,,,,,10.489051094890511,10.934306569343066
2019-02-06 18:00:00,,,,,,,,,10.424569594397436,10.869565217391308
2019-02-06 18:15:00,,,,,,,,,10.151360791733378,10.59525542133606
2019-02-06 18:30:00,,,,,,,,,10.23157588115351,10.675793766385077
2019-02-06 18:45:00,,,,,,,,,10.1032877509456,10.546988652894962
2019-02-06 19:00:00,,,,,,,,,10.23157588115351,10.675793766385077
2019-02-06 19:15:00,,,,,,,,,10.055256652610156,10.498763995928462
2019-02-06 19:30:00,,,,,,,,,10.215523518275793,10.659676714722565
2019-02-06 19:45:00,,,,,,52.873563218391205,,,10.215523518275793,10.659676714722565
2019-02-06 20:00:00,,,,,,41.96491228070203,,,10.553607946245979,10.999123575810676
2019-02-06 20:15:00,,,,,,44.88079979492442,,,10.472923660779454,10.918114143920587
2019-02-06 20:30:00,,,,,,52.13284426041446,,,10.247632920611792,10.691915513474125
2019-02-06 20:45:00,,,,,,52.13284426041446,,,10.247632920611792,10.691915513474125
2019-02-06 21:00:00,,,0.1494683023388843,-0.35622427205351803,0.5062158901787023,53.648443772443514,,,10.199475829935945,10.64356435643563
2019-02-06 21:15:00,,,0.1577799381049516,-0.355799740085172,0.514088676880111,53.648443772443514,100.0,97.73660078834747,10.199475829935945,10.64356435643563
2019-02-06 21:30:00,,,0.04422571341879955,-0.4949381298189226,0.5403816267816555,58.70331542361457,100.0,100.0,10.039255597557428,10.482698458854323
2019-02-06 21:45:00,,,0.109617352055702,-0.4485264429647917,0.5590912004729287,56.705404133921846,69.59257197744626,89.86419065914875,10.087272727272723,10.530909090909102
2019-02-06 22:00:00,,,0.04441155087995252,-0.5457193102522351,0.5916137639843615,60.116314614866326,99.99999999999999,89.86419065914875,9.97529787852367,10.418482999128154
2019-02-06 22:15:00,,,0.13339393894038487,-0.4547549975415066,0.5890954982465667,56.68126649848744,46.890588880526465,72.16105361932425,10.055256652610156,10.498763995928462
2019-02-06 22:30:00,,,0.2476403238067526,-0.31169622714057876,0.5595157523820746,51.600821457654156,0.0,48.96352962684216,10.183432814092285,10.627456689474446
2019-02-06 22:45:00,,,0.26574311181990495,-0.24681199197137405,0.512506592172688,50.38494980227475,0.0,15.630196293508831,10.215523518275793,10.659676714722565
2019-02-06 23:00:00,,,0.06592345544740308,-0.44226754146889924,0.5091490731291767,58.31777614435818,81.51812715744671,27.172709052482247,9.97529787852367,10.418482999128154
2019-02-06 23:15:00,,,0.09863464900619068,-0.4314351140548123,0.5309532705377741,57.65593772152302,91.65696569803721,57.72503095182799,9.991280337160301,10.434529864845231
2019-02-06 23:30:00,,,0.15510074507414373,-0.38336477531546453,0.5390807841516889,55.61672572481794,65.95097001920692,79.70868762489697,10.039255597557428,10.482698458854323
2019-02-06 23:45:00,,,0.20021065040534136,-0.33984701404162765,0.5404349863283286,53.57605129544323,40.226539137000564,65.94482495141492,10.087272727272723,10.530909090909102
2019-02-07 00:00:00,,,0.16803429106659884,-0.3773974780395095,0.546003334096731,55.340725948546456,37.21588049350943,47.797796549905655,10.039255597557428,10.482698458854323
2019-02-07 00:15:00,,,0.16979406716333134,-0.3777033431155763,0.548067151502122,55.340725948546456,43.25303375659989,40.231817795703314,10.039255597557428,10.482698458854323
2019-02-07 00:30:00,,,0.1801165676185379,-0.37203282234367085,0.5526797310824575,55.340725948546456,86.47507057967825,55.64799494326254,10.039255597557428,10.482698458854323
2019-02-07 00:45:00,,,0.17665392339880626,-0.3801718765895967,0.557392997398173,56.03646750814381,100.0,76.5760347787594,10.023259194650391,10.466637592673367
2019-02-07 01:00:00,,,0.2513218184037269,-0.18582916813442152,0.43700788251608125,49.4053740450953,0.0,62.15835685989276,10.151360791733378,10.59525542133606
2019-02-07 01:15:00,,,0.13868969931780661,-0.182319716769741,0.32107945959967576,53.13788415935019,56.28800340478007,52.0960011349267,10.071262361838285,10.514834205933688
2019-02-07 01:30:00,,,0.09431395428249889,-0.20479512887173756,0.29927440409266776,55.27009671603369,88.44276895838242,48.24359078772085,10.023259194650391,10.466637592673367
2019-02-07 01:45:00,,,-0.19225830873093042,-0.6677387956558367,0.47753387567655153,69.30695775371883,100.0,81.57692412105418,9.577240480671767,10.018821485449525
2019-02-07 02:00:00,,,-0.15528143204541767,-0.7851120864730055,0.6328060881464571,71.05382492122618,100.0,96.14758965279417,9.497974537037045,9.939236111111116
2019-02-07 02:15:00,,,-0.1523674953745835,-0.9430082271686846,0.7949948219315501,73.63898119829064,100.0,100.00000000000001,9.371387283236988,9.812138728323694
2019-02-07 02:30:00,,,-0.1387987891368403,-1.1140880468907932,0.981437407797021,75.95190332085136,100.0,100.00000000000001,9.245092378752883,9.685334872979201
