timestamp,ema50_dist_eth_btc_12h,ema200_dist_eth_btc_12h,lower_bb_dist_eth_btc_12h,width_bb_eth_btc_12h,rsi_eth_btc_12h,stoch_rsi_fastk_eth_btc_12h,stoch_rsi_fastd_eth_btc_12h,kijun_dist_eth_btc_12h,tenkan_dist_eth_btc_12h
2018-07-04 02:00:00,,,,,,,,-0.5286985773354825,-0.5591562127689397
2018-07-04 14:00:00,,,,,,,,-0.5258942797118,-0.5565331415760755
2018-07-05 02:00:00,,,,,,,,-0.5296413384064458,-0.5600380483437779
2018-07-05 14:00:00,,,,,,,,-0.5304689027285168,-0.560812131706091
2018-07-06 02:00:00,,,,,,,,-0.5264417998732484,-0.557045278501514
2018-07-06 14:00:00,,,,,,,,-0.5276856950219126,-0.558208787504214
2018-07-07 02:00:00,,,,,,,,-0.5297465876034907,-0.5601364958603714
2018-07-07 14:00:00,,,,,,,,-0.5323170646897646,-0.5625408570594044
2018-07-08 02:00:00,,,,,,,,-0.5338342737519235,-0.5639600171909442
2018-07-08 14:00:00,,,,,,,,-0.5364242975707944,-0.5663826619240632
2018-07-09 02:00:00,,,,,,,,-0.5319134126818403,-0.5621632908749217
2018-07-09 14:00:00,,,,,,,,-0.525037078889752,-0.5557313369588248
2018-07-10 02:00:00,,,,,,,,-0.5082338832338833,-0.5400140400140401
2018-07-10 14:00:00,,,,,,,,-0.5101823796760284,-0.5418366157790467
2018-07-11 02:00:00,,,,,0.4010158143830076,,,-0.5170903346258796,-0.54829814735028
2018-07-11 14:00:00,,,,,0.40960291273182375,,,-0.5179004114872324,-0.5490558733708977
2018-07-12 02:00:00,,,,,0.4044263547186064,,,-0.5172290021536252,-0.5484278535534817
2018-07-12 14:00:00,,,,,0.37081536951222666,,,-0.5127094081502521,-0.5442003362123935
2018-07-13 02:00:00,,,,,0.4503219144086385,,,-0.5199720191868433,-0.5509936043855641
2018-07-13 14:00:00,,0.05026050207256105,-0.018304912001516627,0.06748711872357453,0.4220450719161875,,,-0.5164236200995196,-0.5476745189403744
2018-07-14 02:00:00,,0.05156756130846496,-0.018212611027444203,0.06863550540083044,0.414198137391149,0.5456502723825474,0.7299986661733435,-0.5154200893500503,-0.546735840899265
2018-07-14 14:00:00,,0.05218656752520334,-0.019118666023493436,0.07014545209830682,0.41026196839033097,0.4961427883641384,0.562046262294723,-0.5149377533503555,-0.5462846756394166
2018-07-15 02:00:00,,0.034819268310365414,-0.03413307179959646,0.0689286907964037,0.49084051756030683,1.0,0.680597686915562,-0.5222907313746661,-0.5531624708757175
2018-07-15 14:00:00,,0.028107863871001948,-0.03887959531976459,0.0673501983154036,0.5150500318998243,1.0,0.8320475961213795,-0.5247349823321554,-0.5554487632508833
2018-07-16 02:00:00,,0.019394938894248037,-0.04774888351687212,0.06810940759675918,0.5559412264234201,1.0,1.0,-0.5290682203330486,-0.5595019677595552
2018-07-16 14:00:00,,0.02147569052741094,-0.045938252269664415,0.06824871196217733,0.5455164917851539,0.9284405015578924,0.9761468338526307,-0.5281628872923214,-0.5586551414458913
2018-07-17 02:00:00,,0.03942499846670078,-0.027933244665438672,0.066973422093178,0.45481179778293984,0.0,0.6428135005192973,-0.5190313398463761,-0.550113716010356
2018-07-17 14:00:00,,0.06328140144181837,-0.00723378867667146,0.06859295444394413,0.3715196658657963,0.0,0.30948016718596405,-0.5070876760924696,-0.5389419059765161
2018-07-18 02:00:00,,0.07888559519102145,0.002798126154883507,0.07310185332759758,0.3300231448502938,0.0,-9.473903143468002e-17,-0.499158437225375,-0.5315250904866169
2018-07-18 14:00:00,,0.11701866676007633,0.02273749462906527,0.08812328603816551,0.26564346224545465,0.0,-9.473903143468002e-17,-0.48238173673434825,-0.5158325764689583
2018-07-19 02:00:00,,0.12293448480156166,0.014205237330510823,0.10175211882036375,0.25928515379488387,0.0,-9.473903143468002e-17,-0.480349884865625,-0.5139320320830822
2018-07-19 14:00:00,,0.16662130920978058,0.025883156215073422,0.12838117797624243,0.2154836769271216,0.0,-9.473903143468002e-17,-0.46375031895891805,-0.49840520540954325
2018-07-20 02:00:00,,0.1893333521314433,0.018156686423784985,0.1550871466851022,0.20234324644615653,0.0,-9.473903143468002e-17,-0.4575650518640404,-0.49261965832647725
2018-07-20 14:00:00,,0.21127227987120745,0.010427034526442558,0.18080326535926253,0.18964502656206375,0.0,-9.473903143468002e-17,-0.4511100228534116,-0.4865817825661116
2018-07-21 02:00:00,,0.1888565479970319,-0.021320524942276098,0.19393179232435628,0.27077041853943346,1.0,0.3333333333333332,-0.46165545949407616,-0.4964457252641691
2018-07-21 14:00:00,,0.1939366790738104,-0.02841100670217178,0.20535215870470067,0.26384856304528165,0.9146770779722986,0.6382256926574328,-0.4591268819971689,-0.4940805559130099
2018-07-22 02:00:00,,0.18858796268114708,-0.040730281293893,0.21353206589267912,0.27552850162231024,1.0,0.9715590259907662,-0.46061053273231845,-0.4954683264088291
2018-07-22 14:00:00,,0.19636287377334316,-0.04325641512004064,0.22258006605326697,0.262818007118188,0.852003025084791,0.9222267010190296,-0.4563899442243957,-0.49152049147199095
2018-07-23 02:00:00,,0.22816058661675864,-0.02936155803962681,0.23423891070484137,0.2230497313717371,0.0,0.6173343416949301,-0.4406833227984962,-0.47682890315712434
2018-07-23 14:00:00,,0.2670958271061654,-0.0172297280881063,0.25274886831564236,0.18982043714474944,0.0,0.2840010083615967,-0.4227666002884021,-0.46007004051363043
