timestamp,ema50_dist_trx_btc_15m,ema200_dist_trx_btc_15m,upper_bb_dist_trx_btc_15m,lower_bb_dist_trx_btc_15m,width_bb_trx_btc_15m,rsi_trx_btc_15m,stoch_rsi_fastk_trx_btc_15m,stoch_rsi_fastd_trx_btc_15m,kijun_dist_trx_btc_15m,tenkan_dist_trx_btc_15m
2019-02-06 16:15:00,,,,,,,,,-6.200527704485492,-8.04749340369394
2019-02-06 16:30:00,,,,,,,,,-6.076618229854702,-7.926023778071345
2019-02-06 16:45:00,,,,,,,,,-5.952380952380953,-7.8042328042328135
2019-02-06 17:00:00,,,,,,,,,-6.200527704485492,-8.04749340369394
2019-02-06 17:15:00,,,,,,,,,-6.076618229854702,-7.926023778071345
2019-02-06 17:30:00,,,,,,,,,-6.200527704485492,-8.04749340369394
2019-02-06 17:45:00,,,,,,,,,-5.952380952380953,-7.8042328042328135
2019-02-06 18:00:00,,,,,,,,,-5.827814569536427,-7.682119205298021
2019-02-06 18:15:00,,,,,,,,,-5.702917771883287,-7.559681697612741
2019-02-06 18:30:00,,,,,,,,,-5.577689243027894,-7.436918990703855
2019-02-06 18:45:00,,,,,,,,,-5.702917771883287,-7.559681697612741
2019-02-06 19:00:00,,,,,,,,,-5.702917771883287,-7.559681697612741
2019-02-06 19:15:00,,,,,,,,,-5.452127659574469,-7.31382978723405
2019-02-06 19:30:00,,,,,,,,,-5.452127659574469,-7.31382978723405
2019-02-06 19:45:00,,,,,,33.333333333333336,,,-5.577689243027894,-7.436918990703855
2019-02-06 20:00:00,,,,,,33.33333333333333,,,-5.577689243027894,-7.436918990703855
2019-02-06 20:15:00,,,,,,33.33333333333333,,,-5.577689243027894,-7.436918990703855
2019-02-06 20:30:00,,,,,,33.333333333333336,,,-5.577689243027894,-7.436918990703855
2019-02-06 20:45:00,,,,,,30.590299273184563,,,-5.452127659574469,-7.31382978723405
2019-02-06 21:00:00,,,0.7596456696210341,-0.34795908263560715,1.1053295055983774,36.240717086040995,,,-5.577689243027894,-7.436918990703855
2019-02-06 21:15:00,,,0.4328233008048077,-0.5917636981557672,1.0254018878780886,45.752367103096944,100.0,66.66666666666667,-5.827814569536427,-7.682119205298021
2019-02-06 21:30:00,,,0.16747898561111363,-0.8544010463772955,1.0254018878780886,53.26123336274332,100.0,100.0,-6.076618229854702,-7.926023778071345
2019-02-06 21:45:00,,,0.08220390837203606,-1.0056867579762208,1.0929372101947865,56.50317937324799,100.00000000000001,100.0,-6.200527704485492,-8.04749340369394
2019-02-06 22:00:00,,,0.18806648573979068,-0.8617785068758099,1.0533934116376273,52.575831567747265,80.61761818562242,93.53920606187414,-6.076618229854702,-7.926023778071345
2019-02-06 22:15:00,,,0.815076667650172,-0.22997028467139913,1.0419985523015283,38.25737194370768,0.0,60.205872728540804,-5.452127659574469,-7.31382978723405
2019-02-06 22:30:00,,,0.7350626900590074,-0.2297435411227733,0.9623746993615792,38.25737194370768,0.0,26.872539395207465,-5.452127659574469,-7.31382978723405
2019-02-06 22:45:00,,,0.8458990300973523,-0.14017333102938068,0.9826051127262915,35.98425378070318,0.0,-9.473903143468002e-15,-5.326231691078565,-7.190412782956068
2019-02-06 23:00:00,,,0.5589953376400336,-0.41291300032256784,0.9711989628901084,43.24714103231664,43.77454239032562,14.59151413010853,-5.577689243027894,-7.436918990703855
2019-02-06 23:15:00,,,0.5525366591220715,-0.41973453428798546,0.9716260234077965,43.24714103231664,100.0,47.924847463441864,-5.577689243027894,-7.436918990703855
2019-02-06 23:30:00,,,0.5525366591220715,-0.41973453428798546,0.9716260234077965,43.24714103231664,100.0,81.25818079677519,-5.577689243027894,-7.436918990703855
2019-02-06 23:45:00,,,0.8201330746558266,-0.19430085095402116,1.0112695004088248,37.87952908056519,26.095342447192408,75.36511414906413,-5.326231691078565,-7.190412782956068
2019-02-07 00:00:00,,,1.113207479288847,-0.018414421878909515,1.1254611658141662,33.41342003918573,0.0,42.03178081573079,-5.0734312416555465,-6.94259012016023
2019-02-07 00:15:00,,,0.9902918298777541,-0.1902918298777312,1.1758801391986948,37.38839395207574,40.421869968312315,22.17240413850156,-5.200000000000005,-7.066666666666677
2019-02-07 00:30:00,,,0.9999999999972031,-0.22666666666387725,1.2219418249379956,37.38839395207574,40.421869968312315,26.947913312208197,-5.200000000000005,-7.066666666666677
2019-02-07 00:45:00,,,1.148606177419298,-0.16062219878112405,1.3027926847005737,34.96746997849961,34.79650686795308,38.54674893485922,-5.0734312416555465,-6.94259012016023
2019-02-07 01:00:00,,,1.1558770071196545,-0.22129756786732901,1.3707691118475018,34.967469978499615,39.09585253564624,38.10474312397053,-5.0734312416555465,-6.94259012016023
2019-02-07 01:15:00,,,1.015203850050339,-0.388537183383697,1.3993563834326064,39.50999499974253,100.0,57.96411980119976,-5.200000000000005,-7.066666666666677
2019-02-07 01:30:00,,,0.4915914674587407,-0.9159946504826322,1.4105793898561874,53.50114992547673,100.0,79.69861751188206,-5.702917771883287,-7.559681697612741
2019-02-07 01:45:00,,,-0.02910459576952462,-1.6177992250473783,1.601885385083882,64.54154181046007,99.99999999999999,99.99999999999999,-6.324110671936767,-8.168642951251659
2019-02-07 02:00:00,,,0.8958185251578321,-0.7096483123918862,1.6039737768531785,47.52771722486327,42.470469801151616,80.82348993371718,-5.452127659574469,-7.31382978723405
2019-02-07 02:15:00,,,0.8642220062691441,-0.7179454105244676,1.5810110921916045,47.52771722486325,32.03047053283915,58.16698011133024,-5.452127659574469,-7.31382978723405
