timestamp,ema50_dist_BCH_USD_1h,ema200_dist_BCH_USD_1h,upper_bb_dist_BCH_USD_1h,lower_bb_dist_BCH_USD_1h,width_bb_BCH_USD_1h,rsi_BCH_USD_1h,stoch_rsi_fastk_BCH_USD_1h,stoch_rsi_fastd_BCH_USD_1h,kijun_dist_BCH_USD_1h,tenkan_dist_BCH_USD_1h
2018-10-29 06:00:00,,,,,,,,,-0.08378151451199312,-0.1864660630403704
2018-10-29 07:00:00,,,,,,,,,-0.0847991658355246,-0.18736966180070724
2018-10-29 08:00:00,,,,,,,,,-0.08552467667776498,-0.18801386152069033
2018-10-29 09:00:00,,,,,,,,,-0.084902880714399,-0.18746175290677902
2018-10-29 10:00:00,,,,,,,,,-0.082511475707858,-0.18533836295050676
2018-10-29 11:00:00,,,,,,,,,-0.0824489239370042,-0.18528282162579823
2018-10-29 12:00:00,,,,,,,,,-0.0692071835304423,-0.17352514005117914
2018-10-29 13:00:00,,,,,,,,,-0.029703684121986984,-0.1384489678210089
2018-10-29 14:00:00,,,,,,,,,-0.03738406885535128,-0.1452685787854946
2018-10-29 15:00:00,,,,,,,,,-0.039239482200647324,-0.14691604797258706
2018-10-29 16:00:00,,,,,,,,,-0.0391937556518015,-0.14687544619485038
2018-10-29 17:00:00,,,,,,,,,-0.034945144250304816,-0.14310299495661738
2018-10-29 18:00:00,,,,,,,,,-0.03637318313086235,-0.14437098737440035
2018-10-29 19:00:00,,,,,,,,,-0.03632718333054874,-0.14433014296966373
2018-10-29 20:00:00,,,,,,0.164653902798232,,,-0.033859775065805175,-0.14213926776740837
2018-10-29 21:00:00,,,,,,0.16092743096308385,,,-0.03216913967926749,-0.14063810916412978
2018-10-29 22:00:00,,,,,,0.15443074393080647,,,-0.029237094563727806,-0.1380346709624679
2018-10-29 23:00:00,,,,,,0.22868353942237907,,,-0.03570575591115355,-0.14377836159541435
2018-10-30 00:00:00,,,,,,0.22569994243442826,,,-0.034806722287298864,-0.14298008653869143
2018-10-30 01:00:00,,,0.0659713623769933,-0.032869560252634655,0.09723165119065895,0.2431507170261881,,,-0.03628117913832196,-0.14428929466523455
2018-10-30 02:00:00,,,0.06093478812225217,-0.03329344304695536,0.09294368690801015,0.24486895653772675,1.0,0.9866061294698351,-0.03641917853989163,-0.14441182788000284
2018-10-30 03:00:00,,,0.05297469252256026,-0.03442000502256004,0.08659135973507806,0.2695727028143889,1.0,1.0,-0.03832412347560965,-0.1461032774390243
2018-10-30 04:00:00,,,0.042850438265017,-0.03527302565103485,0.07782859423022745,0.30721330746639713,1.0,1.0,-0.041247150455927084,-0.14869870820668696
2018-10-30 05:00:00,,,0.03110807190249054,-0.03559309815976408,0.06685108449690251,0.3526795096498699,1.0,1.0,-0.04492122817807642,-0.1519610162274685
2018-10-30 06:00:00,,,0.02740474705072371,-0.02649896286985165,0.053879308407959244,0.32295070150201627,0.7242495535949054,0.9080831845316351,-0.040130280769322235,-0.14770701091220306
2018-10-30 07:00:00,,,0.014516096637696263,-0.019438881147080034,0.03403876052629502,0.3307251177363975,0.7358291967957155,0.8200262501302069,-0.040746020432406715,-0.14825374198146823
2018-10-30 08:00:00,,,0.003688428309600811,-0.012073425577943997,0.015828213651660723,0.33347256241650297,0.5775554959294859,0.6792114154400355,-0.04095109147485687,-0.14843582982968717
2018-10-30 09:00:00,,,0.0050842990057429205,-0.009292997140496473,0.014407614797000572,0.3228473260343284,0.0,0.437794897575067,-0.03942234488009133,-0.1470784164446136
2018-10-30 10:00:00,,,0.0055281267632556474,-0.008938488742359474,0.014491325838949161,0.32071208429070247,0.0,0.1925184986431619,-0.03912515766676983,-0.1468145362812061
2018-10-30 11:00:00,,,0.003251841504416486,-0.011581218640761781,0.014895093571095669,0.3589928453567239,1.0,0.33333333333333326,-0.041611279908849164,-0.14902202810482335
2018-10-30 12:00:00,,,0.003407691899038001,-0.01184465791384659,0.015316964165943605,0.36183539175499324,1.0,0.6666666666666667,-0.04179324093411807,-0.14918359597493835
2018-10-30 13:00:00,,,0.0037323910452209397,-0.011729163860938585,0.015523624354780274,0.36411295585517905,1.0,1.0,-0.04192966636609563,-0.14930473162166014
2018-10-30 14:00:00,,,0.005244412823209421,-0.010326380036323468,0.015610458779382184,0.3523753325161504,0.7295532804775323,0.9098510934925109,-0.040746020432406715,-0.14825374198146823
2018-10-30 15:00:00,,,0.005831960530304103,-0.009734608246232623,0.01559700358173856,0.348651103299266,0.0,0.5765177601591776,-0.04038123306555119,-0.1479298379046442
2018-10-30 16:00:00,,,0.006723674580234151,-0.00823666344691898,0.014971664007632739,0.3394744094526564,0.0,0.24318442682584418,-0.039513750118945645,-0.14715957750499575
2018-10-30 17:00:00,,,0.010406586400917517,-0.003585310516610707,0.013944337829847636,0.3018704666719769,0.0,9.473903143468002e-17,-0.03568272468891065,-0.14375791158136086
2018-10-30 18:00:00,,,0.011730192274844065,-9.009461578779465e-05,0.011751890315158347,0.28344554773256064,0.0,9.473903143468002e-17,-0.03358226817942456,-0.14189286227200915
2018-10-30 19:00:00,,,0.009096034612344095,-0.002604605495215351,0.011662786033138143,0.33529907337745013,0.7952317129150641,0.26507723763835483,-0.03607410590650817,-0.14410542902163015
2018-10-30 20:00:00,,,0.011421848134938406,-0.0006021132447618927,0.011959263350234714,0.31442555389877497,0.5529294227139867,0.4493870452096837,-0.03395224194860502,-0.14222137148873049
2018-10-30 21:00:00,,,0.009543793986196647,-0.0025703265967084166,0.01207202863390328,0.35174483436502674,1.0,0.782720378543017,-0.03577484297757505,-0.14383970577699234
