timestamp,ema50_dist_eos_btc_12h,ema200_dist_eos_btc_12h,lower_bb_dist_eos_btc_12h,width_bb_eos_btc_12h,rsi_eos_btc_12h,stoch_rsi_fastk_eos_btc_12h,stoch_rsi_fastd_eos_btc_12h,kijun_dist_eos_btc_12h,tenkan_dist_eos_btc_12h
2018-07-04 02:00:00,,,,,,,,-0.49305959302325586,-0.4841933139534884
2018-07-04 14:00:00,,,,,,,,-0.48390796093518784,-0.4748816217815922
2018-07-05 02:00:00,,,,,,,,-0.48577220788794695,-0.47677847401400664
2018-07-05 14:00:00,,,,,,,,-0.4844800827728919,-0.47546374990761964
2018-07-06 02:00:00,,,,,,,,-0.46715300588190367,-0.45783362615537393
2018-07-06 14:00:00,,,,,,,,-0.4662560257096947,-0.45692095799219523
2018-07-07 02:00:00,,,,,,,,-0.46313399522819976,-0.4537443238666975
2018-07-07 14:00:00,,,,,,,,-0.4665009560229446,-0.45717017208413
2018-07-08 02:00:00,,,,,,,,-0.46584730836970667,-0.45650509227352787
2018-07-08 14:00:00,,,,,,,,-0.4607267104754541,-0.4512949362195593
2018-07-09 02:00:00,,,,,,,,-0.4541435167070975,-0.4445966038031145
2018-07-09 14:00:00,,,,,,,,-0.3975731928491234,-0.38703687710510404
2018-07-10 02:00:00,,,,,,,,-0.4036505086774387,-0.39322048388475683
2018-07-10 14:00:00,,,,,,,,-0.3834629662365211,-0.3726798656531731
2018-07-11 02:00:00,,,,,0.08313856427379088,,,-0.3806712243629583,-0.3698392968125721
2018-07-11 14:00:00,,,,,0.08198880474152245,,,-0.3785192444761225,-0.36764967925873127
2018-07-12 02:00:00,,,,,0.07162272333487191,,,-0.3568003688335638,-0.34555094513600737
2018-07-12 14:00:00,,,,,0.1424789708095242,,,-0.370158013544018,-0.3591422121896163
2018-07-13 02:00:00,,,,,0.22350625908761912,,,-0.38633764405735904,-0.3756048209729921
2018-07-13 14:00:00,,0.29425440381349377,-0.06858262743838117,0.3260472052557697,0.20383026036138968,,,-0.37100991884580703,-0.36000901713255185
2018-07-14 02:00:00,,0.27821768953097803,-0.07719001442054796,0.32294705602345003,0.20464690523545273,0.8758301631661528,0.9154278476434559,-0.3711800234382042,-0.360182096817813
2018-07-14 14:00:00,,0.2671157455885256,-0.08266929280949287,0.3202505036944486,0.20255857266792313,0.7414736829424533,0.8292524086242736,-0.369588793492996,-0.3585630366018979
2018-07-15 02:00:00,,0.22548385929594028,-0.1011360332089839,0.30750133146186076,0.26194202855235277,1.0,0.8724346153695354,-0.38105590062111794,-0.3702307009760426
2018-07-15 14:00:00,,0.16585851118139616,-0.12594954519032786,0.2860990968094031,0.35614359402780954,1.0,0.9138245609808178,-0.40093610443146677,-0.3904586052902782
2018-07-16 02:00:00,,0.1403460316403382,-0.1325255624121845,0.2718087580384315,0.38333977420248355,1.0,1.0,-0.4070469228153689,-0.3966763005780347
2018-07-16 14:00:00,,0.10196588743016011,-0.14779437338661705,0.25561754331376657,0.4405946773650675,1.0,1.0,-0.4203506730929034,-0.41021273059664287
2018-07-17 02:00:00,,0.10978696452441694,-0.1263349468913213,0.23809188154448888,0.40490687735822645,0.8002391778458694,0.9334130592819565,-0.40865547643268907,-0.39831298745337407
2018-07-17 14:00:00,,0.07454600044057025,-0.13407774514978554,0.21502412628656273,0.44668312172763897,1.0,0.9334130592819565,-0.4188051991334777,-0.4086402266288952
2018-07-18 02:00:00,,0.05803936647633656,-0.12316748599891392,0.18730630622482183,0.4432668963050704,0.9460681262351679,0.9154357680270125,-0.4177864952842,-0.40760370586762373
2018-07-18 14:00:00,,0.06607013147321861,-0.08757716889168699,0.15531751011580758,0.3926067927125584,0.0,0.6486893754117227,-0.40134740817027115,-0.390877102643323
2018-07-19 02:00:00,,0.039363689281574965,-0.07932268817112798,0.12110601501240241,0.40485230629988517,0.22644868485639577,0.39083893703052136,-0.4041599043307422,-0.39373878875886226
2018-07-19 14:00:00,,0.08006161766633224,-0.04418422983869974,0.12205631660127392,0.34355231871878206,0.0,0.07548289495213202,-0.380231008440693,-0.3693913816081742
2018-07-20 02:00:00,,0.08172526295967342,-0.04271153012571516,0.12205586561934338,0.3385449427042551,0.0,0.07548289495213202,-0.37796504369538075,-0.3670857856251115
2018-07-20 14:00:00,,0.13594906451229294,-0.0068107954431114726,0.13410106992987014,0.28387873008731335,0.0,9.473903143468002e-17,-0.348753617776118,-0.33736345812715895
2018-07-21 02:00:00,,0.12043598162355651,-0.026240415438292142,0.1400789873020606,0.32141438400593836,0.31027977425969683,0.10342659141989903,-0.3583386992916935,-0.3471161806641523
2018-07-21 14:00:00,,0.12896978687655825,-0.025489272204707425,0.1468604610348499,0.3138842864744908,0.5028280865172252,0.2710359535923075,-0.3542997315560492,-0.34300657224844955
2018-07-22 02:00:00,,0.11620546148966548,-0.03493829430416773,0.14524205078219277,0.3428971999407136,1.0,0.6043692869256407,-0.3613349203442593,-0.35016480498077274
2018-07-22 14:00:00,,0.15233286354109699,-0.013861898231895764,0.1554332646727918,0.30611437566935185,0.3767574055591586,0.6265284973587947,-0.34243024132730016,-0.3309294871794872
2018-07-23 02:00:00,,0.16800305910788982,-0.01422875487609343,0.1692209008399154,0.29358503901864247,0.0,0.45891913518638633,-0.3351601219977125,-0.3235322150209683
2018-07-23 14:00:00,,0.2005911511383962,-0.005388343026070719,0.18766329325315553,0.26942380991592624,0.0,0.125585801853053,-0.3198615444617785,-0.30796606864274567
