timestamp,ema50_dist_trx_usd_15m,ema200_dist_trx_usd_15m,upper_bb_dist_trx_usd_15m,lower_bb_dist_trx_usd_15m,width_bb_trx_usd_15m,rsi_trx_usd_15m,stoch_rsi_fastk_trx_usd_15m,stoch_rsi_fastd_trx_usd_15m,kijun_dist_trx_usd_15m,tenkan_dist_trx_usd_15m
2018-12-12 07:00:00,,,,,,,,,97.32055249452789,95.07887387727376
2018-12-12 07:30:00,,,,,,,,,95.4178502018239,93.19778741216925
2018-12-12 07:45:00,,,,,,,,,93.92650924865438,91.72338897757417
2018-12-12 08:00:00,,,,,,,,,94.74821215733016,92.5357568533969
2018-12-12 08:15:00,,,,,,,,,94.61773244993672,92.40675947293977
2018-12-12 08:30:00,,,,,,,,,94.22734026745914,92.02080237741457
2018-12-12 08:45:00,,,,,,,,,93.89601720685307,91.69324334346956
2018-12-12 09:00:00,,,,,,,,,93.65185185185186,91.45185185185186
2018-12-12 09:30:00,,,,,,,,,95.09701492537313,92.88059701492537
2018-12-12 09:45:00,,,,,,,,,94.19848462338433,91.99227455058686
2018-12-12 10:00:00,,,,,,,,,94.25620448803687,92.04933868331106
2018-12-12 10:15:00,,,,,,,,,93.65185185185186,91.45185185185186
2018-12-12 10:30:00,,,,,,,,,92.92303151058961,90.73131134233637
2018-12-12 10:45:00,,,,,,,,,92.3410829899941,90.15597410241318
2018-12-12 11:00:00,,,,,,77.13993406843241,,,91.79077103660771,89.61191401951434
2018-12-12 11:15:00,,,,,,77.6862607864391,,,91.56591192203416,89.38960943797174
2018-12-12 11:30:00,,,,,,79.59041384392076,,,90.75519883254286,88.58810653046334
2018-12-12 11:45:00,,,,,,80.94879356046988,,,90.13090909090909,87.9709090909091
2018-12-12 12:00:00,,,,,,82.38010045466389,,,89.42830229693499,87.27628432722265
2018-12-12 12:15:00,,,0.450155301719124,-3.6102425744463984,4.12558390207307,76.21374880491318,,,90.13090909090909,87.9709090909091
2018-12-12 12:30:00,,,0.4915029878648447,-3.328062284018418,3.8745167544732797,76.32600576310526,1.8204761026986749,33.94015870089956,90.08943503235658,87.92990620228316
2018-12-12 12:45:00,,,0.9488478622315943,-2.7876215848593677,3.771140820314587,70.03737059096198,0.0,0.6068253675662257,90.82481751824815,88.65693430656934
2018-12-12 13:00:00,,,1.5437188628403486,-2.1720218575555394,3.7274505621501466,62.13201016632448,0.0,0.6068253675662257,91.88931297709921,89.70933646506165
2018-12-12 13:15:00,,,1.7107735401527213,-1.8578323636820993,3.5712318095771556,59.83517035674332,0.0,8.141635513917814e-16,92.2279411764706,90.04411764705884
2018-12-12 13:45:00,,,1.447591172051732,-1.959509030504225,3.4158433586407826,62.03907871603443,13.364443371018517,4.454814457006173,91.73450678401174,89.55628896222959
2018-12-12 14:00:00,,,1.4475923365758758,-1.8311640270782137,3.2850566372929055,62.03907871603443,21.602284886539465,11.65557608585266,91.73450678401174,89.55628896222959
2018-12-12 14:15:00,,,1.696671394362581,-1.4804949237743115,3.1737358830280358,58.32724563493697,0.0,11.65557608585266,92.2279411764706,90.04411764705884
2018-12-12 14:30:00,,,1.2052290486501027,-1.8760901211499093,3.091689640941795,63.02410467546985,100.0,40.53409496217982,91.25759016753237,89.08479040163874
2018-12-12 14:45:00,,,1.2996856570413273,-1.398644753947964,2.699666193631659,60.16645428303019,39.15826794505107,46.386089315017024,91.63612373552266,89.45902360357721
2018-12-12 15:00:00,,,0.7098640343374152,-1.757240127631865,2.4800921078841185,65.09089235481355,100.0,79.71942264835036,90.54664723032072,88.38192419825074
2018-12-12 15:15:00,,,0.5709343024772773,-1.5926354385098929,2.1746791015298528,65.7915603904569,99.99999999999999,79.71942264835036,90.38013399359161,88.21730265074281
2018-12-12 15:30:00,,,0.7117553784127928,-1.1780425938243355,1.8942142115876859,62.63266033411947,43.842836099272915,81.2809453664243,90.76911850554583,88.60186806771748
2018-12-12 15:45:00,,,0.7136708552792692,-0.9990931488773169,1.7152118025900998,62.05963794273289,33.65596352401551,59.16626654109614,90.83874735382145,88.67070589094097
2018-12-12 16:00:00,,,1.6727532829958092,-0.10408249018705185,1.763007878351561,49.63743854131252,0.0,25.83293320776281,92.62452107279692,90.4361921603301
2018-12-12 16:15:00,,,0.8875652904696274,-0.8466236323323995,1.733833992609064,57.316919110796995,47.538830282447265,27.064931268820928,91.13174440707708,88.96037432373156
2018-12-12 16:30:00,,,-0.2057868518815953,-2.239924135781579,2.0593197890762656,66.74479019616804,100.0,49.17961009414909,88.60832551763941,86.46562297092561
2018-12-12 16:45:00,,,0.6707420381745877,-1.4063357517950403,2.0847454180898466,57.93407067644131,48.497466484088925,65.34543225551207,90.21391152502912,88.05296856810246
2018-12-12 17:00:00,,,-0.2780485054017845,-2.7205136800762864,2.4796419780185586,64.99458237354865,89.7692649456783,79.4222438099224,87.94392523364485,85.80877066858375
2018-12-12 17:15:00,,,0.9627014506520926,-1.4302906713366648,2.3985999193238032,54.3433225856758,0.0,46.08891047658907,90.40786598689003,88.24471959213402
2018-12-12 17:30:00,,,0.501687936045947,-1.9451661969154932,2.46464242174447,57.27563130886345,23.644852490738906,37.80470581213907,89.44202898550724,87.28985507246378
2018-12-12 17:45:00,,,0.5485810484380904,-1.9580013382931583,2.5243718915466813,57.27563130886345,27.530158700347126,17.058337063695344,89.44202898550724,87.28985507246378
2018-12-12 18:00:00,,,1.1022335392520954,-1.4220645169586321,2.5283412655053343,53.09481981073974,0.0,17.058337063695344,90.46335421827187,88.29957744426635
