timestamp,ema50_dist_iota_btc_30m,ema200_dist_iota_btc_30m,lower_bb_dist_iota_btc_30m,width_bb_iota_btc_30m,rsi_iota_btc_30m,stoch_rsi_fastk_iota_btc_30m,stoch_rsi_fastd_iota_btc_30m,kijun_dist_iota_btc_30m,tenkan_dist_iota_btc_30m
2019-01-29 16:00:00,,,,,,,,-0.003615425816818396,0.012252276379218108
2019-01-29 16:30:00,,,,,,,,-0.010768412656208426,0.004985376229726057
2019-01-29 17:00:00,,,,,,,,-0.011162790697674452,0.00458471760797341
2019-01-29 17:30:00,,,,,,,,-0.007072324526287699,0.008740325593808329
2019-01-29 18:00:00,,,,,,,,-0.00534687875952411,0.010493249565566076
2019-01-29 18:30:00,,,,,,,,-0.0022794314829711615,0.013609546795387617
2019-01-29 19:00:00,,,,,,,,0.0017501346257404737,0.017703284868066715
2019-01-29 19:30:00,,,,,,,,-0.003481987411276255,0.01238783982857905
2019-01-29 20:00:00,,,,,,,,-0.0020118025751073576,0.013881437768240135
2019-01-29 20:30:00,,,,,,,,0.003371089536138072,0.01935005393743272
2019-01-29 21:00:00,,,,,,,,0.007446520444083449,0.023490387219063047
2019-01-29 21:30:00,,,,,,,,0.006084369929691746,0.02210654407787982
2019-01-29 22:00:00,,,,,,,,0.010456273764258395,0.026548071700162934
2019-01-29 22:30:00,,,,,,,,0.012932208004356127,0.02906343588347382
2019-01-29 23:00:00,,,,,0.3391304347826096,,,0.011417697431018059,0.027524806306918448
2019-01-29 23:30:00,,,,,0.392249333606727,,,0.007582938388625449,0.023628977657413452
2019-01-30 00:00:00,,,,,0.3599768401244845,,,0.011555193039695544,0.0276644915715063
2019-01-30 00:30:00,,,,,0.38623052766569205,,,0.009633649932157429,0.0257123473541383
2019-01-30 01:00:00,,,,,0.3778839628293399,,,0.01059350808094539,0.026687491511612205
2019-01-30 01:30:00,,0.022264796221487915,-0.0088473494707072,0.0309048138451401,0.3940018858376761,,,0.009496676163342821,0.02557319223985899
2019-01-30 02:00:00,,0.019604800572551984,-0.01112815873098072,0.030603252896537283,0.42221349175141315,1.0,0.9098539873416649,0.007582938388625449,0.023628977657413452
2019-01-30 02:30:00,,0.0171488003190281,-0.010785410121356143,0.027845614186204057,0.42427520431745414,1.0,1.0,0.007446520444083449,0.023490387219063047
2019-01-30 03:00:00,,0.01481299029794858,-0.009299579298218674,0.024046281080860314,0.4178523474715323,0.8615502271572665,0.9538500757190889,0.007992413979951207,0.0240449742617177
2019-01-30 03:30:00,,0.013071252771974518,-0.008300958694185012,0.021321356894896573,0.4128049048943991,0.6211086197663793,0.8275529489745486,0.0084022225233773,0.02446130912047706
2019-01-30 04:00:00,,0.011170389823464966,-0.00752441530462411,0.018660786751590226,0.4110226176867706,0.0,0.49421961564121525,0.008538899430740043,0.024600162645703305
2019-01-30 04:30:00,,0.009548673844274713,-0.0072448386362508055,0.0167741899957763,0.4137484649492408,0.2056841685651814,0.27559759611052026,0.0084022225233773,0.02446130912047706
2019-01-30 05:00:00,,0.011022161705896316,-0.00525005794384148,0.01622539232569589,0.3831906387350575,0.0,0.06856138952172713,0.01059350808094539,0.026687491511612205
2019-01-30 05:30:00,,0.006525453339867315,-0.006037516229537965,0.012559905347444786,0.4259922186992856,1.0,0.4018947228550605,0.008538899430740043,0.024600162645703305
2019-01-30 06:00:00,,0.00113428732378007,-0.007606385688864403,0.008769050090019834,0.48500341926309576,1.0,0.6666666666666667,0.005404675043912954,0.02141602486150518
2019-01-30 06:30:00,,0.0012621670698120813,-0.0064007742368152876,0.007682680445025695,0.4713888448725669,0.8662783363746801,0.9554261121248935,0.006220419202163763,0.02224475997295472
2019-01-30 07:00:00,,0.006049342207556263,-0.0017960469228694986,0.007828740158625011,0.3990146078940576,0.15542222770983413,0.6739001880281715,0.011142818317706249,0.027245549667074265
2019-01-30 07:30:00,,0.007911191722222322,-0.00027230283333246064,0.008152357080594157,0.3732968854326934,0.0,0.34056685469483816,0.013208061002178528,0.02934368191721126
2019-01-30 08:00:00,,0.010619397806647113,0.0009117157304718848,0.009652032733518038,0.347563811491026,0.0,0.05180740923661143,0.015420305676855817,0.031591157205240084
2019-01-30 08:30:00,,0.012065107207095416,0.0010478555029178604,0.0109454878173815,0.336630456525732,0.0,5.329070518200751e-17,0.01639120338751532,0.03257751673268672
2019-01-30 09:00:00,,0.010460029210984656,-0.0012290502090744893,0.011635376462158375,0.3758955105556965,0.6294075204796425,0.20980250682654755,0.014589582765203168,0.03074720479956361
2019-01-30 09:30:00,,0.0055833155470650375,-0.0058547596295828175,0.011439627786282191,0.4650747945716694,1.0,0.5431358401598809,0.009907709011943489,0.025990770901194393
2019-01-30 10:00:00,,0.003874849215749654,-0.007586580453895486,0.011482740092195087,0.49694990596236105,1.0,0.8764691734932143,0.007992413979951207,0.0240449742617177
2019-01-30 10:30:00,,0.007927515900281179,-0.003738179665241703,0.011641310882770648,0.4368749215836694,0.6252794992136124,0.8750931664045375,0.012105549510337266,0.028223612622415573
2019-01-30 11:00:00,,0.008911749076600417,-0.0030574264081171254,0.011934242032885492,0.423995286711021,0.3973401873904727,0.6742065622013617,0.013070115724983067,0.02920353982300883
2019-01-30 11:30:00,,0.00885988137227467,-0.003359541004676281,0.012185909053210348,0.423995286711021,0.0,0.3408732288680284,0.013070115724983067,0.02920353982300883
2019-01-30 12:00:00,,0.0037495901600401726,-0.008341841582417353,0.012119259084842798,0.5121603601076808,1.0,0.46578006246349085,0.007992413979951207,0.0240449742617177
