timestamp,ema50_dist_BCHABC_BTC_1h,ema200_dist_BCHABC_BTC_1h,upper_bb_dist_BCHABC_BTC_1h,lower_bb_dist_BCHABC_BTC_1h,width_bb_BCHABC_BTC_1h,rsi_BCHABC_BTC_1h,stoch_rsi_fastk_BCHABC_BTC_1h,stoch_rsi_fastd_BCHABC_BTC_1h,kijun_dist_BCHABC_BTC_1h,tenkan_dist_BCHABC_BTC_1h
2019-01-20 16:00:00,,,,,,,,,-0.00136898520330897,-0.012131539088896637
2019-01-20 17:00:00,,,,,,,,,-0.00522268968518802,-0.015943711011170758
2019-01-20 18:00:00,,,,,,,,,-0.002008499738021974,-0.012764161378587713
2019-01-20 19:00:00,,,,,,,,,-0.005482392527702107,-0.016200614956198733
2019-01-20 20:00:00,,,,,,,,,-0.003922138291690969,-0.014657176060429933
2019-01-20 21:00:00,,,,,,,,,-0.004298202305927479,-0.015029187117009735
2019-01-20 22:00:00,,,,,,,,,-0.003748474458069473,-0.014485383855407652
2019-01-20 23:00:00,,,,,,,,,-0.006836418411981349,-0.017540048086671978
2019-01-21 00:00:00,,,,,,,,,-0.0038353139436908545,-0.01457128744515801
2019-01-21 01:00:00,,,,,,,,,-0.004673982465308035,-0.015400917377924705
2019-01-21 02:00:00,,,,,,,,,-0.005453543352768819,-0.016172076697705373
2019-01-21 03:00:00,,,,,,,,,-0.0062030783500972575,-0.016913533725615215
2019-01-21 04:00:00,,,,,,,,,-0.005164959521806178,-0.01588660302353251
2019-01-21 05:00:00,,,,,,,,,0.0005252867190006505,-0.010257682318265293
2019-01-21 06:00:00,,,,,,0.5216191352345899,,,-0.0027342272899154585,-0.01348206754123149
2019-01-21 07:00:00,,,,,,0.47978910369068567,,,-0.00017497302499214218,-0.010950395147414804
2019-01-21 08:00:00,,,,,,0.4564934662785644,,,0.0013434971815764474,-0.009448289961739409
2019-01-21 09:00:00,,,,,,0.4666827761015073,,,0.0007881370774709406,-0.009997664779029636
2019-01-21 10:00:00,,,,,,0.518834181961146,,,-0.0021827706635624278,-0.012936554132712441
2019-01-21 11:00:00,,,0.007386848912586341,-0.0023466203678099706,0.00970900148717778,0.4904764737224937,,,-0.0005538712686569136,-0.01132520988805974
2019-01-21 12:00:00,,,-0.0012035812082217268,-0.012642172991397693,0.011518331778473157,0.6252048952318953,1.0,0.8341182062300537,-0.010419673266755414,-0.021084685100733136
2019-01-21 13:00:00,,,0.0041719532755684074,-0.007311825591296506,0.011501836015106957,0.5413640055142075,0.4711092043330131,0.6720755272753576,-0.005078351712130003,-0.015800928612884402
2019-01-21 14:00:00,,,0.003956116142450394,-0.0075588312320827855,0.011535727344019227,0.5462958124956948,0.4143100479307995,0.6284730840879375,-0.005482392527702107,-0.016200614956198733
2019-01-21 15:00:00,,,0.007684692048964825,-0.003887371140403162,0.011550133407824802,0.49178590346604895,0.009719031284455637,0.2983794278494227,-0.0016016307513105899,-0.012361677344205013
2019-01-21 16:00:00,,,0.00520635428740035,-0.006342156756535711,0.011555073184262804,0.5242165584422233,0.24307375244666052,0.2223676105539718,-0.004066811909949175,-0.014800290486564838
2019-01-21 17:00:00,,,0.004099947513874325,-0.007517808594359021,0.011637644033538765,0.5394818593569205,0.8749960647509344,0.37592961616068343,-0.005251552254395664,-0.01597226251958439
2019-01-21 18:00:00,,,0.005179797126994901,-0.006463561286158215,0.011650836876556247,0.5235965332052979,0.5835751756978411,0.5672149976318119,-0.00421144350856828,-0.01494336334591928
2019-01-21 19:00:00,,,0.00548780192216225,-0.0057668149137046765,0.011256187147091657,0.5131993568040036,0.4489574207706144,0.63584288707313,-0.0035457901008516535,-0.01428488388990612
2019-01-21 20:00:00,,,0.004978139255243708,-0.006279519066427319,0.011264988335867733,0.5212122804623661,0.30487673851564695,0.44580311166136743,-0.004066811909949175,-0.014800290486564838
2019-01-21 21:00:00,,,0.005863141203333422,-0.0053484716676992505,0.01120872847549287,0.5043256870834755,0.0,0.25127805309542045,-0.0030822017388271172,-0.013826291762379594
2019-01-21 22:00:00,,,0.005298140433918297,-0.0057399495258841915,0.011040528862818453,0.510851242460911,0.33862318946369185,0.2144999759931129,-0.003458900127892184,-0.014198930356935091
2019-01-21 23:00:00,,,0.006514265374710337,-0.00424643422478288,0.01074851169467482,0.4824394291655627,0.0,0.11287439648789728,-0.0018922852983989102,-0.012649199417758328
2019-01-22 00:00:00,,,0.006363603665437534,-0.004258616330299114,0.010611051930773144,0.4808394410381893,0.0,0.11287439648789728,-0.0018051067050981473,-0.01256296037499638
2019-01-22 01:00:00,,,0.007046171898008824,-0.0032671444803924476,0.010293865977520113,0.46640261515704057,0.0,0.0,-0.0010489204859999157,-0.011814923807581201
2019-01-22 02:00:00,,,0.005971454009824351,-0.004356062677635886,0.010319181928938697,0.48926800127643555,0.5144227731281128,0.17147425770937094,-0.0020956428093257262,-0.012850365282184084
2019-01-22 03:00:00,,,0.004610816857440803,-0.005401422600958772,0.010016198890585259,0.5182902036495814,1.0,0.5048075910427042,-0.003458900127892184,-0.014198930356935091
2019-01-22 04:00:00,,,0.007175420641100105,-0.0022818036198238856,0.009434140725107112,0.4617730177382788,0.0,0.5048075910427042,-0.0007286505392015696,-0.011498105508598089
2019-01-22 05:00:00,,,0.007194754239561396,-0.001871915003298641,0.009042603081619506,0.45890647416288305,0.0,0.33333333333333337,-0.0005830053928000956,-0.01135403002477775
2019-01-22 06:00:00,,,0.00537925655226501,-0.003653764074015964,0.009025234139469866,0.500327584697883,0.6975161528761511,0.23250538429205037,-0.002386009835016356,-0.013137602933046222
