timestamp,ema50_dist_eth_usd_30m,ema200_dist_eth_usd_30m,lower_bb_dist_eth_usd_30m,width_bb_eth_usd_30m,rsi_eth_usd_30m,stoch_rsi_fastk_eth_usd_30m,stoch_rsi_fastd_eth_usd_30m,kijun_dist_eth_usd_30m,tenkan_dist_eth_usd_30m
2019-01-30 22:00:00,,,,,,,,-0.016961451247165527,-0.010884353741496655
2019-01-30 22:30:00,,,,,,,,-0.018297101449275432,-0.0122282608695653
2019-01-30 23:00:00,,,,,,,,-0.018106857340455584,-0.012036840680722305
2019-01-30 23:30:00,,,,,,,,-0.020072332730560527,-0.014014466546112048
2019-01-31 00:00:00,,,,,,,,-0.023163587201442182,-0.01712483100495721
2019-01-31 00:30:00,,,,,,,,-0.020249502802386576,-0.014192731874887121
2019-01-31 01:00:00,,,,,,,,-0.02684744545209672,-0.020831462691927927
2019-01-31 01:30:00,,,,,,,,-0.03935472433965603,-0.033416060982095375
2019-01-31 02:00:00,,,,,,,,-0.03713574982231704,-0.031183368869936112
2019-01-31 02:30:00,,,,,,,,-0.03447661469933194,-0.02850779510022272
2019-01-31 03:00:00,,,,,,,,-0.03302616497330857,-0.02704837876304944
2019-01-31 03:30:00,,,,,,,,-0.03154320436064695,-0.02555625055848454
2019-01-31 04:00:00,,,,,,,,-0.03119692500223481,-0.025207830517565144
2019-01-31 04:30:00,,,,,,,,-0.029635598531650098,-0.02363685200107446
2019-01-31 05:00:00,,,,,0.6238580363787792,,,-0.027196840499057573,-0.021183017682434246
2019-01-31 05:30:00,,,,,0.6525545225657068,,,-0.030322662545258394,-0.024328163411703407
2019-01-31 06:00:00,,,,,0.6324240439623835,,,-0.02911403744513119,-0.023112066648750318
2019-01-31 06:30:00,,,,,0.6022275444043673,,,-0.027284150062825363,-0.021270866989768433
2019-01-31 07:00:00,,,,,0.5808921638213935,,,-0.025972858811899036,-0.019951469398759802
2019-01-31 07:30:00,,0.011779410763358422,-0.013739092247565976,0.025543531603887098,0.6086844032178979,,,-0.028411049451691928,-0.022404732817005057
2019-01-31 08:00:00,,0.011810142839693283,-0.01176655128812365,0.02357618026667808,0.6011158384108165,0.39244977156066324,0.2600905910019582,-0.027982062780269046,-0.021973094170403606
2019-01-31 08:30:00,,0.01036444673771375,-0.011378060265755385,0.02175353184054728,0.6137239198738926,1.0000000000000002,0.5934239243352917,-0.02902705608313927,-0.023024547572119802
2019-01-31 09:00:00,,0.021607327521817155,-0.00033728961983325867,0.021713691619778146,0.4549783825431472,0.0,0.4641499238535545,-0.01820817102998462,-0.012138780686656414
2019-01-31 09:30:00,,0.026358984995034085,0.0020578512694016116,0.02396069022024682,0.415461047502559,0.0,0.3333333333333335,-0.014458488678730563,-0.00836591797763031
2019-01-31 10:00:00,,0.03006872007979422,0.0020249767937818852,0.027600836840504146,0.39272107993661254,0.0,9.473903143468002e-17,-0.012122869382918622,-0.006015859994531025
2019-01-31 10:30:00,,0.03739823878963633,0.004130208786649492,0.03259129701815612,0.34708255085915185,0.0,9.473903143468002e-17,-0.006872537340786189,-0.0007330706496838646
2019-01-31 11:00:00,,0.04234246710512801,0.0030159840345787003,0.03845436778930964,0.3240109493652956,0.0,9.473903143468002e-17,-0.0038602941176471006,0.0022977941176469674
2019-01-31 11:30:00,,0.04070950316032396,-0.00065073298859053,0.04054808298040624,0.3369559067343766,0.14155214300208885,0.04718404766736304,-0.004683625677289083,0.0014693727615024965
2019-01-31 12:00:00,,0.03801910989120705,-0.004269161348279371,0.041586500119922515,0.36117676411883515,0.5409073515726144,0.22748649819156783,-0.006193773242953782,-5.0110464514752096e-05
2019-01-31 12:30:00,,0.03848122694022016,-0.0050816679832828004,0.042847353567686645,0.34910313483913685,0.6751415417699549,0.4525336787815528,-0.004866403452391865,0.0012854650628959519
2019-01-31 13:00:00,,0.03688272485892519,-0.007283035804735771,0.04352164705370309,0.35707536151373426,0.889645830925574,0.7018982414227146,-0.0053240062849910785,0.0008250333513721841
2019-01-31 13:30:00,,0.034662046795433055,-0.009534651178340958,0.04364831374996694,0.373549804763787,1.0,0.8549291242318431,-0.006235099944984501,-9.169264624986351e-05
2019-01-31 14:00:00,,0.03465177783727724,-0.00945304708711614,0.04355604638173595,0.35868717738312017,0.39203877556834416,0.7605615354979729,-0.004866403452391865,0.0012854650628959519
2019-01-31 14:30:00,,0.031702235911581944,-0.011700459219852188,0.0429729276798134,0.3850371774572507,1.0,0.7973462585227815,-0.006235099944984501,-9.169264624986351e-05
2019-01-31 15:00:00,,0.036991792360444364,-0.007467864629816523,0.0438128926520957,0.3222899162118344,0.0,0.4640129251894482,-0.0001845018450185032,0.005996309963099522
2019-01-31 15:30:00,,0.042566878875551106,-0.0032700737028166227,0.04495368448781071,0.2705012595938311,0.0,0.3333333333333335,0.006500742942050497,0.012722882615155973
2019-01-31 16:00:00,,0.038850948196311075,-0.006631795688662678,0.04476165262870442,0.3023597536410589,0.2781528680393342,0.09271762267977826,0.004727913228886438,0.010939093353110163
2019-01-31 16:30:00,,0.030122850523180977,-0.013113105187958274,0.04287134041977925,0.4016843434443367,1.0,0.42605095601311155,-0.0014800722398489174,0.004692730413770718
2019-01-31 17:00:00,,0.031889974756189154,-0.00994634933073546,0.04138228540187068,0.36644388051013754,0.7313642742660427,0.6698390474351258,0.002404735479097253,0.008601553829078679
2019-01-31 17:30:00,,0.02880359195561555,-0.009499107636991688,0.037936527046867674,0.363991235261321,0.7126679212239725,0.8146773984966719,0.0026829493940234705,0.008881487649181175
